fornecedor,mes,valor,anomalia
Construtora Fachada,1,74424.22,0
Construtora Fachada,2,89622.78,0
Construtora Fachada,3,112580.05,0
Construtora Fachada,4,108103.84,0
Construtora Fachada,4,117751.35,0
Construtora Fachada,5,1230864.47,1
Construtora Fachada,6,117000.66,0
Construtora Fachada,7,124316.67,0
Construtora Fachada,8,111948.69,0
Construtora Fachada,9,141802.76,0
Construtora Fachada,10,154569.11,0
Construtora Fachada,11,161558.9,0
Construtora Fachada,12,239701.93,0
Consultoria Aurora,6,480000.0,1
Engenharia Delta,1,166921.53,0
Engenharia Delta,2,231397.97,0
Engenharia Delta,3,236369.68,0
Engenharia Delta,4,232367.11,0
Engenharia Delta,5,260177.86,0
Engenharia Delta,6,262486.18,0
Engenharia Delta,6,317627.86,0
Engenharia Delta,7,240395.48,0
Engenharia Delta,8,270933.26,0
Engenharia Delta,9,259909.02,0
Engenharia Delta,10,292996.61,0
Engenharia Delta,10,319077.59,0
Engenharia Delta,11,356943.49,0
Engenharia Delta,12,470558.95,0
Equipe Medicos Psi,1,123840.35,0
Equipe Medicos Psi,1,132337.09,0
Equipe Medicos Psi,2,128175.95,0
Equipe Medicos Psi,3,150252.17,0
Equipe Medicos Psi,4,187437.14,0
Equipe Medicos Psi,4,190149.51,0
Equipe Medicos Psi,5,162823.21,0
Equipe Medicos Psi,5,164480.25,0
Equipe Medicos Psi,6,205441.37,0
Equipe Medicos Psi,7,171067.85,0
Equipe Medicos Psi,7,180067.78,0
Equipe Medicos Psi,8,193055.0,0
Equipe Medicos Psi,9,214500.72,0
Equipe Medicos Psi,9,206857.65,0
Equipe Medicos Psi,10,186049.23,0
Equipe Medicos Psi,10,221922.85,0
Equipe Medicos Psi,11,270331.97,0
Equipe Medicos Psi,12,342523.24,0
Equipe Medicos Psi,12,338492.65,0
Eventos Boreal,11,520000.0,1
Indústrias Panacea,1,132170.45,0
Indústrias Panacea,2,165684.56,0
Indústrias Panacea,2,164190.63,0
Indústrias Panacea,3,189898.28,0
Indústrias Panacea,4,194213.86,0
Indústrias Panacea,5,206719.99,0
Indústrias Panacea,5,202733.59,0
Indústrias Panacea,6,238102.58,0
Indústrias Panacea,7,186994.31,0
Indústrias Panacea,7,177540.81,0
Indústrias Panacea,8,188851.56,0
Indústrias Panacea,9,243385.63,0
Indústrias Panacea,10,229325.45,0
Indústrias Panacea,10,248953.27,0
Indústrias Panacea,11,307857.6,0
Indústrias Panacea,12,339685.65,0
